INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I172101928,03301,Verbal Disputes,VERBAL DISPUTE,B3,417,,2017-12-08 17:52:00,2017,12,Friday,17,Part Three,MORA ST,42.28208198,-71.07364875,"(42.28208198, -71.07364875)"
I172101919,03301,Verbal Disputes,VERBAL DISPUTE,B2,584,,2017-12-08 17:28:00,2017,12,Friday,17,Part Three,WENSLEY ST,42.32706721,-71.10128822,"(42.32706721, -71.10128822)"
I172101896,03301,Verbal Disputes,VERBAL DISPUTE,B2,330,,2017-12-08 16:05:00,2017,12,Friday,16,Part Three,COLUMBIA RD,42.30370925,-71.08313459,"(42.30370925, -71.08313459)"
I172101895,03301,Verbal Disputes,VERBAL DISPUTE,E18,519,,2017-12-08 10:30:00,2017,12,Friday,10,Part Three,FAIRMOUNT AVE,42.25545720,-71.12078435,"(42.25545720, -71.12078435)"
I172101872,03301,Verbal Disputes,VERBAL DISPUTE,B2,321,,2017-12-08 14:37:00,2017,12,Friday,14,Part Three,BLUE HILL AVE,42.31054545,-71.08179328,"(42.31054545, -71.08179328)"
I172101868,03301,Verbal Disputes,VERBAL DISPUTE,E18,480,,2017-12-08 14:36:00,2017,12,Friday,14,Part Three,BISMARCK ST,,,"(0.00000000, 0.00000000)"
I172101748,03301,Verbal Disputes,VERBAL DISPUTE,D14,768,,2017-12-08 09:03:00,2017,12,Friday,9,Part Three,MARKET ST,42.35615901,-71.14910236,"(42.35615901, -71.14910236)"
I172101736,03301,Verbal Disputes,VERBAL DISPUTE,B2,268,,2017-12-07 23:47:00,2017,12,Thursday,23,Part Three,EUSTIS ST,42.32804842,-71.07651895,"(42.32804842, -71.07651895)"
I172101730,03301,Verbal Disputes,VERBAL DISPUTE,B2,288,,2017-12-08 02:32:00,2017,12,Friday,2,Part Three,WASHINGTON ST,42.33011862,-71.08425106,"(42.33011862, -71.08425106)"
I172101723,03301,Verbal Disputes,VERBAL DISPUTE,A7,7,,2017-12-08 00:32:00,2017,12,Friday,0,Part Three,LEYDEN ST,42.38857015,-71.00246871,"(42.38857015, -71.00246871)"
I172101720,03301,Verbal Disputes,VERBAL DISPUTE,B2,326,,2017-12-08 00:57:00,2017,12,Friday,0,Part Three,QUINCY ST,42.31369016,-71.07696741,"(42.31369016, -71.07696741)"
I172101695,03301,Verbal Disputes,VERBAL DISPUTE,B2,304,,2017-12-07 18:09:00,2017,12,Thursday,18,Part Three,WASHINGTON ST,42.31943966,-71.09467467,"(42.31943966, -71.09467467)"
I172101694,03301,Verbal Disputes,VERBAL DISPUTE,E18,519,,2017-12-07 21:54:53,2017,12,Thursday,21,Part Three,HARVARD AVE,42.25937003,-71.12240369,"(42.25937003, -71.12240369)"
I172101688,03301,Verbal Disputes,VERBAL DISPUTE,D4,165,,2017-12-07 21:25:00,2017,12,Thursday,21,Part Three,E BERKELEY ST,42.34322816,-71.06343087,"(42.34322816, -71.06343087)"
I172101683,03301,Verbal Disputes,VERBAL DISPUTE,E18,555,,2017-12-07 21:04:00,2017,12,Thursday,21,Part Three,GREW AVE,42.27510049,-71.12178148,"(42.27510049, -71.12178148)"
I172101677,03301,Verbal Disputes,VERBAL DISPUTE,B3,450,,2017-12-07 20:32:00,2017,12,Thursday,20,Part Three,WHITFIELD ST,42.29276044,-71.07486603,"(42.29276044, -71.07486603)"
I172101672,03301,Verbal Disputes,VERBAL DISPUTE,C11,342,,2017-12-07 20:07:00,2017,12,Thursday,20,Part Three,GENEVA AVE,42.30288559,-71.07056121,"(42.30288559, -71.07056121)"
I172101642,03301,Verbal Disputes,VERBAL DISPUTE,B2,911,,2017-12-07 18:49:00,2017,12,Thursday,18,Part Three,ANNUNCIATION RD,42.33506218,-71.09316781,"(42.33506218, -71.09316781)"
I172101635,03301,Verbal Disputes,VERBAL DISPUTE,B2,268,,2017-12-07 18:34:54,2017,12,Thursday,18,Part Three,EUSTIS ST,42.32900380,-71.07838214,"(42.32900380, -71.07838214)"
